PT312,PT401,PT408,PT403,PT501,PT408_diff,PT403_diff,FT305,FT104,FT407,LI405,FT406,FT407_density,FT406_density,FT104_density,FT407_temp,FT406_temp,FT104_temp,LI504,VC501,VC302,VC101,PO1,PT417
0.134422398,0.128272295,0.102250898,0.104551899,,0.02601727,0.395400596,0.041171752,1.988173962,0.345307112,0.918483317,0.030789239,56.83657074,987.0241699,997.6854248,20.78858948,19.7967701,19.10676003,35.20552063,27.12252998,88.33450317,43.25059891,2.210000038,0.009621143
0.134377396,0.128434205,0.102301598,0.104471099,,0.02603378,0.470502377,0.04113564,1.989220023,0.128819704,0.912816226,0.01026308,61.97800064,987.6561279,997.6854858,20.78945923,19.79862022,18.9656105,35.20756912,27.11713982,88.38530731,43.2580719,2.289999962,0.009621242
0.134631801,0.128660905,0.102408898,0.1046556,,0.026203021,0.4297328,0.041123055,1.992012978,0.01449626,0.907149017,0.02461474,61.97800064,988.2880859,997.6854858,20.79033089,19.80047989,18.91856003,35.20960999,27.11174011,88.43611145,43.26554108,2.099999905,0.009621343
0.134633696,0.128689802,0.102516198,0.104800201,,0.026164499,0.31600709,0.041084001,1.994807005,0.458080798,0.901481926,0.031450879,61.97800064,988.9199829,997.6854858,20.79121017,19.80233955,18.91856003,35.21165085,27.10634995,88.48692322,43.27301025,1.997499943,0.009621443
0.134762704,0.128652799,0.102623498,0.104902101,,0.026039749,0.292403698,0.041065445,1.997599959,0.412542105,0.895814776,0.02962584,61.97800064,989.552002,997.6856079,20.79207993,19.80418968,18.91856003,35.21369934,27.10095024,88.53772736,43.28047943,2.17750001,0.009621543
0.134653199,0.128615904,0.102584696,0.104862904,,0.025990751,0.402553081,0.041039611,2.000394106,0.618538976,0.891599178,0.0278008,57.78707886,990.1838989,997.68573,20.79294968,19.80604935,18.91856003,35.2157402,27.09555054,88.58853912,43.27957153,2.404999971,0.009621643
0.134651303,0.128578901,0.102497304,0.104776502,,0.026122579,0.245191503,0.041044583,2.003186941,1.02659905,0.88786763,0.036579549,56.39009857,990.4157104,997.68573,20.79383087,19.80791092,19.05970955,35.2177887,27.09016037,88.63935089,43.27587891,2.377500057,0.009621743
0.134721005,0.128541899,0.102409899,0.104690194,,0.026150539,0.34604609,0.041137305,2.005980015,0.111176603,0.884136021,0.009914473,56.39009857,990.5142212,997.68573,20.79470062,19.80975914,19.10676003,35.25048828,27.08476067,88.69016266,43.27219009,2.297499895,0.009621844
0.134712803,0.128824305,0.102513194,0.104548395,,0.026311061,0.413997221,0.041349585,2.008774042,0.384169996,0.880404294,0.01475142,56.39009857,990.6124878,997.685791,20.79557037,19.81162071,19.10676003,35.25453949,27.07935905,88.68003845,43.26848984,2.227499962,0.009621944
0.135160303,0.129077399,0.102179503,0.104613805,,0.02683624,0.265939307,0.041521751,2.011567116,0.482042193,0.876672685,0.03441998,56.39009857,990.7109985,997.685791,20.79644012,19.81347084,19.10676003,35.24562836,27.07397079,88.64961243,43.26480103,2.345000029,0.009622044
0.135154498,0.1292853,0.102215195,0.104393196,,0.027133411,0.275237608,0.041582667,2.014360905,0.760161817,0.872941017,0.00983428,54.5194397,990.8093872,997.6859131,20.79731941,19.81533051,19.10676003,35.23672104,27.06856918,88.6191864,43.26110077,2.367500067,0.009622144
0.135487402,0.129758501,0.102429795,0.104408097,,0.027320889,0.355346298,0.041614473,2.014679909,0.956979275,0.869209409,0.02405492,53.89588928,990.9077759,997.6859131,20.79818916,19.81718063,18.99476051,35.22780991,27.06318092,88.58876801,43.25740814,2.299999952,0.009622245
0.136001504,0.130013096,0.102644396,0.1045416,,0.02729958,0.420434523,0.041631389,2.014174938,1.325698972,0.875808299,0.008018307,53.89588928,991.0062256,997.6859741,20.79906082,19.8190403,18.95742989,35.21889114,27.05777931,88.55834198,43.25371933,2.317500114,0.009622344
0.1363837,0.129979396,0.102689099,0.104826903,,0.027208671,0.349624109,0.041600583,2.013669968,0.586113572,0.892749429,0.033115849,53.89588928,991.1046753,997.6859741,20.79993057,19.82089996,18.95742989,35.20999146,27.03409958,88.52792358,43.25003052,2.420000076,0.009622445
0.136341906,0.1296404,0.102677095,0.104902196,,0.026902151,0.406844616,0.041565471,2.013164997,0.233010203,0.911989987,0.038963009,53.89588928,990.3012695,997.6859741,20.80080986,19.82275009,18.95742989,35.20108032,27.00432014,88.54586029,43.24633026,2.1875,0.009622545
